ID,Is_Lead
ENUB4N9S,0.1769
KERBCSGE,0.9943
7HTA4C6J,0.8037
4BTVMT6W,0.0572
MR3J9USD,0.2695
7S83FNQW,0.6083
MSOKLC7S,0.0232
GFMNATHU,0.046
NG4ABA6H,0.9763
3GFHRAQY,0.2931
BCSGZZPE,0.1292
PQ9MCGZC,0.0773
K7N596CG,0.0561
8RUL6JEE,0.0852
CVOFJRMP,0.0622
B4FQX4HG,0.0457
W7HAQKDV,0.0559
8C5PKJ7G,0.0623
E4GQJZSQ,0.0759
UENREGNV,0.8484
CC4LYHEW,0.8502
GDKGLTBT,0.0618
G3ER8CGX,0.0551
ZG4KT59X,0.0245
LW93KJMZ,0.4707
9AR5FBSQ,0.4645
FHLWDMRV,0.1024
EON5DCWD,0.9901
J8UXTMYV,0.2203
IXBW5HZH,0.0464
LDHQB458,0.0591
GNHTIKF3,0.0504
8NO22KTE,0.0215
SGJFSSJK,0.1756
TD8D3NDD,0.054
8RQ27JGU,0.842
A8GKBMBO,0.8024
ODVMNUDE,0.5161
EA5CRL7L,0.0498
6UI7RPCH,0.3302
7BJYM94L,0.0543
X3PZJF7F,0.465
YCSSMPV7,0.4528
4EV9VXL8,0.5068
IPNJFQTY,0.2264
XPWNJRJC,0.0355
3WHNSBRB,0.1714
U245YKM8,0.0482
68EFFKBB,0.8502
NEUII7AB,0.994
F7CSLYWT,0.0543
5EOMOZHG,0.1551
6CYUTUFN,0.3861
K7YUC8LF,0.2636
LSMCXMXA,0.0497
AALPBPBP,0.0568
ZPX6VOH2,0.0727
CDBFWQGM,0.1185
JUQ76NJV,0.8158
QHE7UULR,0.0522
JRMNMZJA,0.0636
GZ4EZZFX,0.2077
9L9JFIAR,0.5393
GTOE4RN4,0.1197
CUYE7ST4,0.3046
FFM6DHEA,0.8467
5XUK7XLZ,0.4628
4HTGJEEZ,0.0537
RWYBAMRG,0.1237
RQZGBGGN,0.8489
ITVSUTU9,0.243
6UMDX7NQ,0.4542
4IVKAFYY,0.5187
ZKYOSQEU,0.5194
9JYXIDL4,0.9894
XNURWQBT,0.0548
HVNIJFQC,0.0512
CGGVBJKZ,0.9914
JO9DV3NY,0.8501
EYENUQR9,0.3369
FPU4ZI8H,0.0697
2MALVTY4,0.0741
QN4REV7D,0.0515
27F5ZEQA,0.0771
MKJUE4K2,0.0756
4ECWF4DN,0.0535
KWBJAQMY,0.0499
3YAW8OEY,0.1338
ZHHFH7H9,0.8764
BO2822VM,0.106
NQZUPVUA,0.0466
MUT2PZ7T,0.3894
2MFKPCPS,0.8415
4RLVOVMJ,0.6239
JISGN7XF,0.0579
NNOFHDAC,0.0535
ODE23CPW,0.0194
ZNTYNFME,0.2243
NQM48VKU,0.097
DGVBCYY7,0.045
9F38NUKC,0.1637
3Z7KCIZS,0.0413
ERAX3STD,0.0542
N9TCDYYG,0.0452
R4UMWUZK,0.0719
CPERTJBJ,0.1025
4XK5BMA9,0.0332
2PKDM5B2,0.046
SW5GTHZN,0.3988
ATJAEQCJ,0.0876
NHNXBSFY,0.1634
NRGYTYZJ,0.0398
UZNABWAT,0.0522
CVP3VZN5,0.069
JEAYZXKC,0.0533
87LFEVTZ,0.3452
N7ZEJ2CQ,0.0538
AQT3ADAP,0.0581
WC8ROKF8,0.0536
D9HWEXEV,0.0804
MMHWGZCN,0.0474
YKCAQFHU,0.3366
NDPFBA9X,0.4378
3T6C7AEA,0.2219
GZWB38J9,0.0531
OFTXYNYQ,0.0539
QYZQIXBJ,0.5208
N7PJT5HO,0.0641
JP2PNX9X,0.1923
N3FUZDIH,0.054
UXKAVBLS,0.0202
G24JWDKS,0.044
HQOKKQVX,0.1886
HTXFVZZG,0.0523
3TJKVA4J,0.0462
CRGS7FPX,0.0391
BTRJTMR3,0.0875
ERLPQML7,0.0214
9FDFXYAW,0.55
MEEKFDZZ,0.0498
ZGY8ETLW,0.2485
AXVUJHT9,0.0543
35ILRW7D,0.4634
DR2U5JQX,0.0533
WHZ7CEY6,0.2777
UCPMS2KF,0.0507
HB6MJHDN,0.2465
7NWFPJ2X,0.1322
4QXD6K4K,0.1607
D6H3RTAZ,0.1141
L67WSXUY,0.0764
IXHVY78L,0.0641
H6KE88O6,0.3758
EAPKN7G8,0.9915
GQXJSFJE,0.1428
BVHSRABV,0.0577
DUY76GFX,0.1522
O7H9KPSD,0.4116
6EDBA5AN,0.0767
V24CAXFM,0.0646
SERPSAWP,0.0478
H47QYY5K,0.0718
5TYQNFPE,0.4054
HGDB7KMR,0.4749
DWH8Q2S3,0.2056
USNBQZAK,0.0468
I89VR4AB,0.0691
ATZVVXWJ,0.4906
HOKP6ZTS,0.0602
ZDKT2SSW,0.0526
DK5HJYQE,0.0398
ABKW7FGW,0.1319
BCSW3W7T,0.0537
6T4VNEWD,0.5711
XBALBNYB,0.3106
NWMJR3W5,0.0577
Q5BJ4ULE,0.0538
DOFSPEWD,0.8388
ANX8FUBJ,0.0536
KPR67SVO,0.0214
44EV7IJE,0.0532
VZEK4IOK,0.4773
CZMKWRQN,0.0504
VGQUQLXT,0.1588
MS6GASNJ,0.0309
4ENG9TKV,0.8287
UHRRWLGR,0.0621
APFSHZYP,0.0522
M7MURWXC,0.4331
3EOATQBT,0.0512
MDZG7EZX,0.0561
QZ6LSSTB,0.0594
Y7EEZYYS,0.893
RYKLU6HL,0.0528
CWQ8OAQ8,0.0551
WSFUNE28,0.8495
9PFQKPRB,0.0576
MCLXWKBC,0.0472
NWDXDZEN,0.3241
EBLDBRDR,0.1752
CJRW5JYT,0.2594
CMMKRNUZ,0.1572
EATPTPY3,0.0538
J5AGUF6Q,0.0705
8WYO2BBG,0.3434
9EPXIMZB,0.0481
UZERUG9W,0.0947
QEQ79QUC,0.0707
ZNHVE7QZ,0.1248
PU3J43GY,0.8396
HWDBXAUK,0.0522
W74BHIAD,0.0739
MGLDAPOA,0.0538
BYFCPDX5,0.103
S2QDUDEJ,0.9852
HBYRWBWL,0.0216
8CIAWHWZ,0.8581
ZFYFFXT5,0.0923
UGIADHRB,0.1089
JDDGRBSU,0.2389
NBS2LTYW,0.326
DBKM3FRW,0.0952
GLBHRXKB,0.0485
9WDPTNCN,0.0176
NVVVFQ9U,0.85
6AT635HW,0.0882
HPHDI6NN,0.0536
CPNAGJ95,0.0512
FY6AFNCK,0.9906
KWQAVZOE,0.8782
HGBDE3LM,0.4655
SYKEB6EV,0.0588
9BROJWWS,0.4319
CG8DGVAV,0.2199
H7MT8CNK,0.0686
GJVVWNKN,0.8385
FXWTMJDG,0.091
OSNGFACM,0.0695
PBFT55CF,0.9935
4P8GFHSL,0.0363
9ZZ4F4XF,0.4037
CN4YERMU,0.8344
8TUDLTWK,0.1378
USFZPY7Z,0.0236
VBJXREA8,0.0296
9LBNXHQ2,0.1495
PY6HCDWF,0.0474
9VJMJR6X,0.0635
4GAEJIQO,0.0473
F34SD6YQ,0.062
HZ3BZVH6,0.1399
9WVBAWEY,0.1744
BPNYRSEH,0.0652
7OGHEHO3,0.1636
LRJZMHFT,0.054
PCHQW72T,0.4743
BFJQGRFT,0.4017
UVJ6UYBF,0.0926
LRVO7MCH,0.1888
EAOF4EYO,0.8175
5HPCBEQQ,0.8661
8FJBKABE,0.0562
27J5UDAU,0.0393
4MAT9RSM,0.8667
SBDGZSY9,0.8424
HPYN9M2Z,0.0542
G7D2BESM,0.8128
TWN7YQPN,0.0537
BJRGMNFZ,0.1903
9HFPJV3S,0.078
6WKJAUAG,0.0483
BZUANVCU,0.218
NYWLDSFZ,0.8536
LTW8JGAZ,0.0541
IMDQJUTW,0.0598
AVHZRCH8,0.2111
LTSDWAVT,0.0506
9WVKLADB,0.4776
GXDSQJS2,0.047
4IHXKUNA,0.3957
BTYDUQPC,0.0542
BKCNFM72,0.1114
UMVSSZ9N,0.0582
N2STVKOI,0.0535
ZZJQB3EY,0.5589
FZJK9GH7,0.0708
NTIWWNVB,0.036
NBCRWUBE,0.1695
UBPYOBYG,0.0709
K8RKMGVW,0.5799
HFTH3NC2,0.0398
759LCPDE,0.1697
DYKME2AY,0.8465
VZHURNZD,0.0279
EAJJBYHU,0.4035
T97TKZNT,0.4911
IXOEQ2YD,0.9531
BWKXTBCF,0.0626
DNKPRVB3,0.2704
JQCF2PXG,0.0447
GIABLCP4,0.0513
FDIC7S35,0.5516
5RTNFJEV,0.0219
OBZ4CU77,0.0647
XMVX6WEB,0.1406
MHARJGPA,0.0554
2QI5GPDU,0.4716
AE2NBAJ3,0.0175
MDLANJZG,0.0213
7TAP99MA,0.1791
A6AMKR2Z,0.2105
DX69CFXV,0.0695
HKCKEKV4,0.24
CBNWXPJJ,0.3246
Z3SJXFCA,0.0983
RHTCABWR,0.867
ILGMVREG,0.1626
BZK32SSP,0.0538
25RR4UGE,0.0572
9ZQFVNWY,0.1062
FFSTFCAA,0.0765
MBEDAX9Z,0.0736
IYERPTUY,0.1054
SBNMNBJE,0.0225
CPWDDHBP,0.4307
EN5EXSVB,0.0372
EFT7687S,0.0639
DUPIVFIW,0.0568
HTVBHNFH,0.0525
GFTV6AXH,0.0535
NTNK2ZYN,0.0512
NZ2MDLPM,0.2042
UU4ECFQ5,0.8608
FFWGNGVJ,0.0509
JDQIBLRI,0.052
ZAWUVVWA,0.054
FC24V4XD,0.1706
EKTZZYA2,0.072
RVRMHDD8,0.0464
3RASGR5Y,0.1907
QRBESHHG,0.0528
MXYLFHSV,0.0735
TY85POPR,0.0734
BHXO9INE,0.054
S2RKLYZH,0.4616
98GUQS9R,0.463
6VD8FK4Y,0.0515
FMUHBZHQ,0.0539
IHQY3US8,0.8259
VDSNW6DR,0.0797
JF8E8TCY,0.1605
EKVBDN5B,0.1396
LJOYHFHT,0.0627
8WBDXKKG,0.4554
LNAASJ6O,0.0538
HGTW39J8,0.064
AMYH3YSJ,0.1151
QZRPEWE6,0.0515
9RBSJHBJ,0.3094
EFZ3ADG9,0.054
CMQX6K9J,0.1605
DBVXEJCR,0.0551
PLYKWBFR,0.0627
7QNURUDE,0.0525
M8TD2YPV,0.2646
JVJZVKUJ,0.8355
XVUVCSM8,0.4939
C9CMNJEH,0.1722
IQLV6HTY,0.0916
ELG7YZUM,0.0522
PU9KWVOH,0.5044
HAYJGRRV,0.0568
KBKUHSLA,0.0967
USL6KBDY,0.0452
ZGLCSKTI,0.0794
9JQWNRGA,0.1256
EBVUVT88,0.0548
9ZU5GNSK,0.1738
EC7NIRSV,0.0547
JJ23TDTX,0.0691
IZWY5RYD,0.0908
TSYCNH93,0.0553
QSY6Q77W,0.2077
TOBSGQ3J,0.2185
FKGE6YRE,0.4721
MGAYPPJE,0.0511
IJRFUH6V,0.2406
KX9Y3LCV,0.055
2ZDDJYHE,0.8372
NBMLMYQE,0.0549
E8XWCECR,0.1906
5FP4HKBU,0.1156
FUKFFD3F,0.2654
8BDSMQUY,0.0424
39T7KUFC,0.0569
HZSPWI2U,0.4665
LEJJKOWC,0.0497
DR5F2HVS,0.84
BJA5TRWJ,0.3793
NCVH9WFE,0.0814
ME3XYUC5,0.8091
VLCHSDHG,0.0472
59CV3HQQ,0.1491
JTAEBBQM,0.0455
OBHDYLE2,0.2328
EUEGA65T,0.0487
MO9XWHWE,0.1206
K3JSVGHE,0.0569
JFHAQZQM,0.0508
22IQJE4I,0.8453
F57YH86H,0.0635
BPNYWIPI,0.0549
FJB78783,0.0947
DIVE6ZUL,0.0726
YACVPC9M,0.266
A3FM9UVE,0.0546
9NE6ZC2Q,0.1067
4NHTDBJN,0.1034
3FH863BT,0.0184
3UBBVIGN,0.4009
NNP9TLV2,0.4348
SA7VUUTE,0.0523
ROG7ONJG,0.4491
ICEBXJHF,0.1037
HFTYHFAZ,0.0622
EC5IQBEK,0.0544
VQPXGNJV,0.0443
BNE8WOYV,0.8481
MKEXSYJN,0.0557
B2MY2KQE,0.1202
GZVND3WE,0.3791
JZ8ASRBZ,0.9834
UMQWVVHH,0.8484
MDGISGP7,0.0416
JMVHKVGP,0.0445
G5GPWASE,0.5161
A9H3PMBD,0.0533
DKEMLQCU,0.8409
VVPNRFRF,0.8698
AVIBMJNL,0.1912
3FNEIWTQ,0.0464
WMQIVFIH,0.0879
GUSEEXX5,0.241
HZBZ7QMH,0.0523
KMTZWEXS,0.0231
62AXBXBL,0.0841
FW6GESXM,0.0366
A67RATVB,0.0536
HUWJHKEG,0.0554
KCHF33KH,0.1179
CJUKTB4B,0.0808
FA8NWHGK,0.0767
6UZE4NSH,0.8403
4UUZBMXW,0.1722
QMRXRYDB,0.0357
M3A5BVAC,0.9729
II63YKTB,0.0717
4OYB27TY,0.2298
IEN9X6H8,0.1016
U9VVATUM,0.2644
SFOYCMRR,0.5556
O7WYJHA5,0.3132
STEKRYHT,0.0187
QSX9J6OF,0.2765
EVT46GYN,0.0352
IQHUPR8Z,0.0574
98WUTF8M,0.0318
5JUSHPUM,0.0562
9FMK8FZU,0.0521
WPWW4JUN,0.5528
8QUXAAHS,0.1134
EU8RGIP7,0.0579
BFT7ZJQO,0.0519
4EQAO8W3,0.8671
F3RWQSVQ,0.2085
FUA3S84W,0.054
G9WITTNH,0.0581
TE4CM6N8,0.9898
L93TY7Q6,0.0235
MK46HOFS,0.228
NSUSAJ7C,0.0344
ZQXJP6PH,0.2004
YX6PNVKN,0.0545
7V7IJDSU,0.2614
BSDHE7F2,0.3311
DV5EXZEZ,0.7851
VDKS85PW,0.3619
4W48SFHV,0.4525
ANGVCUXZ,0.0542
IOST7D8C,0.5443
HAQAECZX,0.0345
GAB49KQU,0.8308
GEBCXWCU,0.0742
JPT2DAGQ,0.5114
RXYEGKFP,0.5447
4R6HCRNW,0.0484
MWRTSE9B,0.0594
JAC7FJCA,0.455
5DCT43QX,0.0193
GFZMAKDD,0.0531
8WVWSZNF,0.0567
KCBVOKZ8,0.8354
NRCEX3F3,0.0521
59KYREQZ,0.0501
S2HTHOYG,0.0511
98QJA4ZA,0.0518
8S27HJRE,0.2304
MTEWWARX,0.0524
PH8LQUCB,0.1561
BYB9URVZ,0.739
3TYYHEQU,0.0622
WTOPV47E,0.8334
HGNGPJXH,0.3381
LE5M9QWH,0.0626
7YR3Z54H,0.0857
9DLYZCUW,0.8756
RKYQQQL5,0.2215
5UTFCCXZ,0.3089
JCYRCTNE,0.8106
AJIVJ4WE,0.1994
JTCERL4D,0.063
XWS2DC9M,0.0529
TVIX5INS,0.8398
CIQZ4NJS,0.1083
EJRPJ86R,0.0548
HPQBQGWQ,0.0531
FR38HJFG,0.851
JPXNNMXQ,0.5047
HWED8UBF,0.8385
CJ6ILARS,0.0345
MBCCSXEA,0.0581
4S84NTNM,0.0632
ADGV3FDY,0.1688
HSAJUCOR,0.4598
HHV3JEXF,0.0424
DHARALYV,0.0707
KBVN65GH,0.0562
UYHCQN7W,0.0717
9VXSCU6F,0.0669
F2DBEMXE,0.2124
6VN358PX,0.0705
T2J5Y8NB,0.0217
HPXJGYEZ,0.9906
CS5NAYPP,0.4668
2UC6R5XE,0.8415
KZ8TKYP4,0.0503
Y8XIC3AH,0.2078
GCT9PSGP,0.0525
MPQQFX4I,0.0543
8VCZYPZD,0.0518
JCIQPZLE,0.0503
AYSUMKSF,0.1074
VVAVU9BN,0.251
F3NBRACB,0.0529
FPIGVTHX,0.0707
X7XNXJVW,0.0482
JEKWRXYH,0.483
MNGYZO5U,0.0834
FXPCJ7GE,0.8653
BUXRB7CD,0.0796
JV4MCTHN,0.0462
JUFQ5PVJ,0.4142
ENLVSM6O,0.1822
CJHC43KV,0.2895
N4NSCGHE,0.4124
FUVHQRWB,0.0503
GTQHBCF7,0.4004
DSB6DIRV,0.0919
BVUKQQRV,0.0583
KZCHX6LW,0.7742
M5XAM7HE,0.0541
YODUTYZU,0.8445
JEREISWR,0.3968
FTHIZFGT,0.1959
7TCFIDRX,0.0357
V8CRCBLR,0.0542
XEDZWKEX,0.4383
RAD4GZKE,0.0571
FY8NXMD2,0.0231
KVZXQCUM,0.3531
JXRP92WY,0.0391
IYA3LI6E,0.1072
FXEUAUMU,0.2146
KXVZ3BNR,0.0245
FTDASK8G,0.5404
JZQZ7RWM,0.0593
HNPMBXDN,0.0592
3SUTYK7Z,0.0534
EHAW2L37,0.072
H5HWWKTM,0.1261
BQVSKRPN,0.0476
EUK3CR9A,0.1594
VRMGCTGP,0.0526
ENDZJZGR,0.0623
NSSYQFVN,0.0691
7TRWUSYQ,0.9878
7Z6JWBCW,0.0556
7DR4UVAZ,0.1678
H7YECJLG,0.274
CUNTRPMN,0.8544
VQQEMTVX,0.0743
NWMFKQLZ,0.0544
FIUW4SGY,0.0529
JCVXZSJS,0.0534
VZRUA5XP,0.4488
923REBWY,0.0549
3FKWHVLC,0.0581
V8JTYKKL,0.1456
A4MRC8NU,0.5093
CQJTCLCJ,0.4609
L9O3NMDQ,0.0525
7DFWCHAN,0.0396
NK7CWSGK,0.3587
OLLGNEK9,0.0497
KVOLRR62,0.0737
KAI7SJGY,0.1692
5LYDNC27,0.1321
LPGW9PN3,0.1011
4WA5JPWP,0.0538
GCDXLWAN,0.1577
7V6GQUOD,0.2988
ENYQCCWM,0.0349
B3BUXXA4,0.1772
PC7INMMF,0.1907
6PJ9NW3X,0.3964
DXYC8WIG,0.868
DPKUYNJK,0.1695
6ZRSCJ6J,0.8267
CPX4EYVB,0.5225
T28RFIEL,0.0535
D4GXBMM8,0.0667
JMQJAZHA,0.1368
RZSFMVB9,0.4643
T2QWMIDV,0.3937
GRM6UHIW,0.0523
X2SD7FMK,0.2091
I4SENFDI,0.0476
YSNU9M3K,0.7815
USGXXPJH,0.5094
QPQZPSMH,0.0738
QPZDTV5V,0.0501
H28ZERNP,0.9748
UNWHQWCY,0.0899
7N8BRMDU,0.0762
DFMGCWHV,0.094
8FP6ENF4,0.4316
FAO6XGQE,0.0644
X5FCJHQ5,0.0435
GGFPEVFR,0.0894
AP9SCCXC,0.1591
WONWP8QB,0.0551
CWEKUQ4P,0.8915
C5CGJVQZ,0.8386
HO4YRWYD,0.0303
HLIYGGYA,0.0496
QKAJK2VB,0.4737
ZEZT2RND,0.0693
9AVBPCUN,0.035
EZYK55RU,0.0516
XLUTOAMB,0.116
DWU7CKFE,0.2304
D6DQQIBU,0.4742
QHQJZFZU,0.5362
YP9SF5M4,0.0575
VMYWFYEL,0.8859
4XPSMAPQ,0.0532
FKF7TQWV,0.406
FFSKJ4PJ,0.1268
5UTEZSAB,0.0219
5NKBKDHR,0.2082
N3UXDVTF,0.848
5OY8PVUA,0.07
RSDW4ASM,0.0322
LH8H3PTS,0.9909
CSSGZP9Q,0.052
SKHABGYI,0.0508
GFNPT3NG,0.0544
CBKXYPE7,0.2203
QGXXYFWE,0.3721
DTLXTDMB,0.3334
XQU9XWRT,0.0255
NZMD3FOP,0.0567
YHJCEHBM,0.3948
P8Q24VFD,0.0609
IMF54OGD,0.123
QXTFTJZR,0.1138
RMBIAZPU,0.362
9VCZ5LPR,0.0528
GSYBHMCW,0.0469
X7C7Z2C3,0.0296
FPUWSRYS,0.046
XPMQAAKG,0.0635
EQ3C2DDV,0.1765
WBBAFNBP,0.9893
FYH9BSDA,0.186
JWNYLDQ2,0.056
OWYEXKMJ,0.2028
PGE7SYWG,0.0518
6S8GNM6C,0.0601
EVGXQGGW,0.0504
G3RBZKVF,0.0212
WPRYJTHH,0.2949
6PMYO4NW,0.0582
4DPCCOT4,0.0746
EVHK3KNC,0.0565
C25XPJHR,0.0184
MRAIW8WJ,0.0543
FRHEUMRV,0.0202
TDF6TDHD,0.0571
MG2YF6UW,0.8681
7GX9RWEC,0.1346
6LM5QANA,0.9452
J3DBQUJR,0.0832
2O4EUQUG,0.2464
COA38OVH,0.1735
NUEETDF8,0.057
BP3FKBPZ,0.4994
EEG8PEV4,0.0545
G7JWN6JV,0.249
ESSIGXVU,0.0215
8W6YED3T,0.0915
TNCPHB6Z,0.2159
SD3MES8O,0.0524
3C3FBK8X,0.0778
WUMUDSST,0.0674
4DWPAOIX,0.0544
5PRTDKXK,0.2123
HVOBOSSI,0.1736
4WTK9RBR,0.1698
